food_code,name,category,kcal_per_100g,carbs_g_per_100g,protein_g_per_100g,fat_g_per_100g,fiber_g_per_100g,default_qty_grams,default_unit,primary_source
ASC086,Cream of mushroom soup,Prepared Meal,117.27780151367188,3.7424185276031494,6.6403021812438965,15.500728607177734,1.3361760377883911,375,soup bowl,asc_manual
ASC087,Chicken sweet corn soup,Prepared Meal,28.32048225402832,1.632999062538147,14.47509765625,12.593029975891113,0.46616339683532715,242,soup bowl,asc_manual
ASC088,Minestrone soup,Prepared Meal,42.65936279296875,3.7148396968841553,9.303705215454102,11.087420463562012,1.9226291179656982,230,soup bowl,asc_manual
ASC089,Egg drop soup,Prepared Meal,26.63651466369629,1.1007238626480103,12.929913520812988,13.516396522521973,0.8106687664985657,318,soup bowl,asc_manual
ASC090,Chinese cabbage and meat ball soup,Prepared Meal,484.30548095703125,1.4290056228637695,5.210831642150879,56.57162094116211,0.56608647108078,465,soup bowl,asc_manual
ASC091,French onion soup,Prepared Meal,55.60973358154297,4.2752203941345215,11.40778636932373,14.39195728302002,1.0132992267608643,352,soup bowl,asc_manual
ASC092,Hot and sour soup,Prepared Meal,31.513946533203125,1.7757666110992432,3.1162946224212646,1.312411904335022,0.6012079119682312,393,soup bowl,asc_manual
ASC093,Talaumein soup,Prepared Meal,35.62731170654297,4.171391487121582,10.122030258178711,12.784790992736816,1.9394147396087646,369,soup bowl,asc_manual
ASC094,Cold cucumber soup (Thanda kheere ka soup),Prepared Meal,48.02956771850586,4.580854415893555,2.9876434803009033,1.990923285484314,0.8775031566619873,188,soup bowl,asc_manual
ASC095,Cold summer garden soup,Prepared Meal,49.18648147583008,2.645667791366577,8.571334838867188,14.081335067749023,1.8566449880599976,307,soup bowl,asc_manual
ASC096,Chapati/Roti,Prepared Meal,202.3111114501953,35.64999771118164,5.875,3.5611112117767334,6.3111114501953125,36,chapati,asc_manual
ASC097,Plain parantha/paratha,Prepared Meal,298.30084228515625,30.69233512878418,5.055602073669434,16.858184814453125,5.433456897735596,56,parantha,asc_manual
ASC098,Potato parantha/paratha (Aloo ka parantha/paratha),Prepared Meal,205.04238891601562,23.920074462890625,3.6979143619537354,10.220277786254883,4.17527961730957,93,parantha,asc_manual
ASC099,Radish parantha/paratha (Mooli ka parantha/paratha),Prepared Meal,183.52423095703125,20.542415618896484,3.297506809234619,9.527800559997559,4.324216365814209,100,parantha,asc_manual
ASC100,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Prepared Meal,178.07040405273438,18.837081909179688,3.726067066192627,9.46512508392334,4.6809587478637695,102,parantha,asc_manual
ASC101,Dal parantha/paratha,Prepared Meal,268.2444763183594,30.032482147216797,6.775821685791016,13.053577423095703,6.463358402252197,77,parantha,asc_manual
ASC102,Sprouted moong parantha/paratha,Prepared Meal,228.59439086914062,24.306026458740234,4.292011260986328,12.426431655883789,4.488044261932373,77,parantha,asc_manual
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),Prepared Meal,190.73114013671875,21.512731552124023,5.594754695892334,8.798940658569336,5.606614112854004,108,parantha,asc_manual
ASC104,Keema parantha/paratha,Prepared Meal,238.086181640625,18.35640525817871,9.405674934387207,13.909818649291992,3.441148042678833,100,parantha,asc_manual
ASC105,Paneer parantha/paratha,Prepared Meal,262.9658203125,24.326213836669922,7.984040260314941,14.621496200561523,4.000173091888428,85,parantha,asc_manual
ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Prepared Meal,216.49209594726562,21.389270782470703,5.544742584228516,12.086648941040039,4.393850326538086,82,parantha,asc_manual
ASC107,Poori,Prepared Meal,737.6346435546875,8.220335960388184,1.354683756828308,77.60576629638672,1.4552441835403442,125,poori,asc_manual
ASC108,Spinach poori (Palak poori),Prepared Meal,684.25439453125,7.757184982299805,1.4218518733978271,71.85770416259766,1.5484445095062256,135,poori,asc_manual
ASC109,Methi poori,Prepared Meal,710.0203247070312,7.981307506561279,1.4534616470336914,74.6041488647461,1.61338472366333,130,poori,asc_manual
ASC110,Dal stuffed poori,Prepared Meal,785.162841796875,10.137200355529785,2.0753488540649414,81.68533325195312,1.9644328355789185,119,poori,asc_manual
ASC111,Potato stuffed poori (Aloo ki poori),Prepared Meal,776.7381591796875,9.400838851928711,1.5213927030563354,81.35301971435547,1.6401007175445557,119,poori,asc_manual
ASC112,Tandoori parantha/paratha,Prepared Meal,295.37005615234375,30.7401180267334,5.079640865325928,16.512575149536133,5.441916465759277,56,parantha,asc_manual
ASC113,Boiled rice (Uble chawal),Prepared Meal,117.18966674804688,25.720001220703125,2.6033332347869873,0.18333333730697632,1.246666669845581,300,plate,asc_manual
ASC114,Plain pulao,Prepared Meal,140.20791625976562,21.81610870361328,2.338649034500122,4.622068881988525,1.685498595237732,308,plate,asc_manual
ASC115,Mixed vegetable pulao,Prepared Meal,113.0494384765625,17.489917755126953,2.722787380218506,3.327634572982788,2.6673471927642822,438,plate,asc_manual
ASC116,Mushroom pulao,Prepared Meal,124.28645324707031,19.018360137939453,2.5225167274475098,4.029394626617432,1.8818777799606323,358,plate,asc_manual
ASC117,Sprouted moong pulao,Prepared Meal,112.97147369384766,17.491247177124023,2.1882078647613525,3.607832670211792,1.7846653461456299,408,plate,asc_manual
ASC118,Paneer pulao,Prepared Meal,581.9120483398438,8.757226943969727,1.9848072528839111,59.809207916259766,0.6193639039993286,500,plate,asc_manual
ASC119,Peanut pulao,Prepared Meal,193.2752685546875,21.180999755859375,5.3159260749816895,9.512810707092285,2.900153636932373,358,plate,asc_manual
ASC120,Navratan pulao,Prepared Meal,261.707763671875,36.979042053222656,6.198443412780762,9.453126907348633,3.8167121410369873,183,plate,asc_manual
ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Prepared Meal,173.42837524414062,27.569656372070312,4.875859260559082,4.820158958435059,3.154414653778076,358,plate,asc_manual
ASC122,Mutton biryani/biriyani,Prepared Meal,190.76315307617188,22.495088577270508,7.376446723937988,7.724486827850342,2.415123462677002,208,plate,asc_manual
ASC123,Vegetable biryani/biriyani,Prepared Meal,174.60516357421875,18.557273864746094,3.1605417728424072,9.507964134216309,3.3085036277770996,302,plate,asc_manual
ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Prepared Meal,176.30288696289062,21.622270584106445,4.256220817565918,7.8798065185546875,2.522399425506592,319,plate,asc_manual
ASC125,Sweet rice (Meethe chawal),Prepared Meal,215.41348266601562,42.59217071533203,2.095991611480713,4.565640926361084,1.130673885345459,348,plate,asc_manual
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Prepared Meal,195.73703002929688,32.93044662475586,5.753233909606934,4.316627025604248,2.1338064670562744,216,plate,asc_manual
ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Prepared Meal,373.0386047363281,65.08139038085938,7.453181743621826,8.532773971557617,5.117789268493652,128,plate,asc_manual
ASC128,Spanish rice,Prepared Meal,164.24085998535156,31.09807014465332,4.189563274383545,2.2327356338500977,2.7778851985931396,217,plate,asc_manual
ASC129,Chinese fried rice,Prepared Meal,120.58412170410156,13.401684761047363,4.05177116394043,5.434627056121826,2.312879800796509,351,plate,asc_manual
ASC133,Macroni cheese pie,Prepared Meal,170.62753295898438,21.09503173828125,5.85098123550415,7.483591079711914,0.39908143877983093,240,casserole dish,asc_manual
ASC134,Vegetable chowmein,Prepared Meal,129.71388244628906,15.444334983825684,3.066948175430298,6.358810901641846,1.8633472919464111,300,plate,asc_manual
ASC135,Chicken chowmein,Prepared Meal,151.3335723876953,13.301461219787598,6.331267833709717,8.234783172607422,1.6449854373931885,344,plate,asc_manual
ASC136,Cheese noodle ring,Prepared Meal,133.66921997070312,13.955496788024902,6.224301815032959,6.117282867431641,1.2688804864883423,397,plate,asc_manual
ASC137,Spaghetti and cheese balls in tomato sauce,Prepared Meal,508.322021484375,7.815141677856445,2.4087061882019043,52.08030700683594,0.5925891995429993,500,plate,asc_manual
ASC138,Penne platter,Prepared Meal,177.40061950683594,20.872121810913086,5.040764808654785,8.709636688232422,1.091510534286499,261,plate,asc_manual
ASC139,Pasta hot pot,Prepared Meal,125.17289733886719,11.601784706115723,5.837541580200195,6.466379642486572,0.8040021061897278,500,plate,asc_manual
ASC140,Chicken lasagne,Prepared Meal,187.4915313720703,13.902274131774902,10.452420234680176,10.36139965057373,0.10575316101312637,500,plate,asc_manual
ASC141,Fettuccine with spinach sauce,Prepared Meal,129.20672607421875,12.18928050994873,3.103574752807617,7.828339576721191,0.7732551693916321,355,plate,asc_manual
ASC142,Naan,Prepared Meal,286.44964599609375,51.75419998168945,8.05210018157959,4.987837314605713,1.9091849327087402,53,naan,asc_manual
ASC143,Bhatura,Prepared Meal,793.2029418945312,10.733963012695312,1.6303993463516235,82.5638427734375,0.37921854853630066,146,bhatura,asc_manual
ASC144,Idli,Prepared Meal,137.53526306152344,28.17755699157715,4.637406349182129,0.33316707611083984,2.3092269897460938,30,idli,asc_manual
ASC146,Masala dosa,Prepared Meal,164.5846710205078,19.566587448120117,3.2877273559570312,7.840357303619385,2.522749423980713,210,dosa,asc_manual
ASC147,Semolina dosa (Suji/Rava dosa),Prepared Meal,227.05209350585938,32.84082794189453,7.300220012664795,7.116666316986084,4.044466972351074,73,dosa,asc_manual
ASC148,Onion tomato uttapam,Prepared Meal,462.0191955566406,11.315990447998047,1.9062505960464478,45.30297088623047,1.26231849193573,139,uttapam,asc_manual
ASC149,Paneer kaathi roll,Prepared Meal,285.942138671875,20.103469848632812,6.916443347930908,19.554462432861328,2.404341220855713,148,kaathi roll,asc_manual
ASC150,Makki ki roti,Prepared Meal,263.9683532714844,24.191999435424805,3.4924707412719727,16.849411010742188,5.191764831542969,85,roti,asc_manual
ASC151,Washed moong dal (Dhuli moong ki dal),Prepared Meal,50.00269317626953,5.906931400299072,2.677743673324585,1.680992841720581,1.1709928512573242,277,bowl,asc_manual
ASC152,Washed urad dal (Dhuli urad ki dal),Prepared Meal,61.32363510131836,5.8411149978637695,2.5109291076660156,2.9800169467926025,1.5285979509353638,296,bowl,asc_manual
ASC153,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Prepared Meal,73.25393676757812,7.101042747497559,2.789580821990967,3.602670431137085,2.720830202102661,279,bowl,asc_manual
ASC154,Dry washed urad,Prepared Meal,124.71212768554688,15.66222095489502,6.8496856689453125,3.4971020221710205,4.05785608291626,143,bowl,asc_manual
ASC155,Mixed dal,Prepared Meal,61.92817687988281,5.792935848236084,2.5055992603302,3.103567600250244,1.6162534952163696,298,bowl,asc_manual
ASC156,Whole moong (Moong ki dal),Prepared Meal,53.698612213134766,5.218648910522461,2.249401330947876,2.5644569396972656,2.0171144008636475,342,bowl,asc_manual
ASC157,Whole masoor (Masoor ki dal),Prepared Meal,54.05467224121094,5.37463903427124,2.2791972160339355,2.518010377883911,1.9838132858276367,342,bowl,asc_manual
ASC158,Whole moth (Moth ki dal),Prepared Meal,54.99718475341797,5.740952014923096,2.005776882171631,2.6187903881073,1.84885573387146,342,bowl,asc_manual
ASC159,Whole urad (Urad ki dal),Prepared Meal,53.795135498046875,5.047299385070801,2.213059902191162,2.62381911277771,2.3189191818237305,339,bowl,asc_manual
ASC160,Moti mahal dal (Urad rajmah mix dal),Prepared Meal,103.12796020507812,8.737751007080078,3.929511785507202,5.656059265136719,3.3802528381347656,287,bowl,asc_manual
ASC161,Black channa curry/Bengal gram curry (Kale chane ki curry),Prepared Meal,140.67662048339844,14.114450454711914,5.666234970092773,6.610110759735107,7.989398956298828,120,bowl,asc_manual
ASC162,Chickpeas curry (Safed channa curry),Prepared Meal,163.43203735351562,19.97835922241211,6.099023818969727,6.842765808105469,4.732227325439453,120,bowl,asc_manual
ASC163,Lobia curry,Prepared Meal,148.98741149902344,17.881961822509766,6.064000129699707,5.619450569152832,4.567117214202881,120,bowl,asc_manual
ASC164,Soyabean curry,Prepared Meal,163.27719116210938,6.759547233581543,10.426908493041992,10.189997673034668,7.341466903686523,120,bowl,asc_manual
ASC165,Kidney bean curry (Rajmah curry),Prepared Meal,143.7259063720703,16.378459930419922,5.951425075531006,5.7745537757873535,5.825456142425537,120,bowl,asc_manual
ASC167,Sambar,Prepared Meal,96.91847229003906,10.567740440368652,3.3500633239746094,4.382696628570557,3.5215985774993896,257,bowl,asc_manual
ASC168,Besan kadhi with pakodies,Prepared Meal,403.3492126464844,3.5637803077697754,1.6443043947219849,42.5884895324707,0.8116763234138489,500,bowl,asc_manual
ASC169,Khatta channa,Prepared Meal,202.56605529785156,21.140640258789062,6.295548915863037,10.559773445129395,5.260317325592041,157,bowl,asc_manual
ASC170,Sprouted moong dal chat,Prepared Meal,32.47376251220703,6.005068302154541,1.3497076034545898,0.32163742184638977,1.3450292348861694,257,plate,asc_manual
ASC171,Potato cauliflower (Aloo gobhi),Prepared Meal,106.17748260498047,5.990505218505859,1.8975750207901,8.125692367553711,3.0182628631591797,176,bowl,asc_manual
ASC172,Potato capsicum (Shimla mirch aloo),Prepared Meal,125.52963256835938,8.716957092285156,1.409610629081726,9.332274436950684,2.0246083736419678,151,bowl,asc_manual
ASC173,Cabbage and peas (Pattagobhi aur matar),Prepared Meal,63.88294219970703,6.235406398773193,3.2393312454223633,2.6449499130249023,3.9855921268463135,166,bowl,asc_manual
ASC174,Carrot and fenugreek leaves (Gajar methi),Prepared Meal,61.91693878173828,4.170989990234375,2.095118284225464,3.806856632232666,4.428805828094482,191,bowl,asc_manual
ASC175,Potato fenugreek (Aloo methi),Prepared Meal,135.14739990234375,8.468133926391602,2.24550199508667,10.040675163269043,2.9267795085906982,204,bowl,asc_manual
ASC177,Brinjal bhartha (Baingan ka bhartha),Prepared Meal,65.11573028564453,4.397458076477051,1.3797035217285156,4.4805498123168945,3.2744195461273193,326,bowl,asc_manual
ASC178,Dry potato (Sookhe aloo),Prepared Meal,103.14553833007812,14.378251075744629,1.6200236082077026,4.182056903839111,1.8769739866256714,106,bowl,asc_manual
ASC179,Beans with coconut (Nariyal aur sem/phali; Beans thoran),Prepared Meal,131.63136291503906,4.393538951873779,2.618790864944458,11.393542289733887,5.585058689117432,150,bowl,asc_manual
ASC180,Cauliflower with coconut (Nariyal ke saath phoolgobhi),Prepared Meal,132.11083984375,3.9923083782196045,2.638852596282959,11.560721397399902,5.270761966705322,150,bowl,asc_manual
ASC181,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),Prepared Meal,106.61273193359375,4.994035243988037,1.8197554349899292,8.621280670166016,4.521347522735596,200,bowl,asc_manual
ASC182,Raw turnip with coconut,Prepared Meal,132.14828491210938,5.7777838706970215,1.8029557466506958,11.467101097106934,2.7898201942443848,150,bowl,asc_manual
ASC183,Raw papaya with coconut (Papaya thoran),Prepared Meal,132.7501220703125,5.5771684646606445,1.5354688167572021,11.42029094696045,4.314496040344238,150,bowl,asc_manual
ASC184,Stuffed okra (Bharwa bhindi),Prepared Meal,94.34012603759766,3.8542532920837402,2.079592704772949,7.655135631561279,4.146153926849365,111,bowl,asc_manual
ASC185,Stuffed round gourd (Bharwa tinde),Prepared Meal,72.7967758178711,4.020564079284668,1.1034642457962036,5.7472004890441895,2.103806734085083,248,bowl,asc_manual
ASC186,Stuffed capsicum (Bharwa shimla mirch),Prepared Meal,90.94032287597656,8.255976676940918,1.3372509479522705,5.704382419586182,2.0107569694519043,125,capsicum,asc_manual
ASC187,Stuffed brinjal (Bharwa baingan),Prepared Meal,92.99759674072266,3.9584197998046875,1.5331376791000366,7.728148937225342,4.091648101806641,55,brinjal,asc_manual
